t,count,p,min_prone_overlap,min_n_flights,min_util,int1,int2,int3,int4,n_potential_conflics,E[n_conflicts],total_remaining_conflicts,disruption_occured,recovered,value,prev_action,folder
4,4998,0.8,0.0,1,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,2.0,1.6,0,0,0.0,-12.822810189522567,"('none', 'none', 'none')",TRAIN26
5,4566,0.8,0.0,2,0.28846153846153844,0.0,0.5769230769230769,0.0,0.0,1.0,0.8,0,0,0.0,-8.02302784906237,"('swap', '13', '#6')",TRAIN26
6,473,0.8,0,2,0.22916666666666666,0,0.4583333333333333,0.0,0.0,0.0,0.0,0,0,0.0,-0.0,"('none', 'none', 'none')",TRAIN26
1,5998,0.7,75.0,2,0.25,150.0,0.5,37.5,157.49999999999997,2.9999999999999996,2.0999999999999996,0,0,0.0,-95.65962746209864,"('swap', '7', '#2')",TRAIN28
2,5998,0.7,0.0,1,0.109375,0.0,0.109375,0.0,0.0,2.9999999999999996,2.0999999999999996,0,0,0.0,-15.053576030701247,"('swap', '16', '#6')",TRAIN28
3,5656,0.7,0.0,0,0.0,0.0,0.0,0.0,0.0,2.9999999999999996,2.0999999999999996,0,0,0.0,-9.045243408324628,"('swap', '24', '#5')",TRAIN28
4,806,0.7,0.0,1,0.08928571428571429,0.0,0.08928571428571429,0.0,0.0,2.857142857142857,2.0,2,1,0.0,-10.000000000000004,"('swap', '6', '#4')",TRAIN28
5,2120,0.7,0.0,2,0.19230769230769232,0.0,0.38461538461538464,0.0,0.0,1.4285714285714286,1.0,1,1,0.0,-5.000000000000002,"('swap', '3', '#4')",TRAIN28
6,1209,0.7,0,1,0.25,0,0.25,0.0,0,0.0,0,0,1,1.0,0,"('swap', '14', '#4')",TRAIN28
1,5966,0.87,0.0,1,0.17647058823529413,0.0,0.17647058823529413,0.0,0.0,1.0,0.87,0,0,0.0,-4.455153750071005,"('swap', '18', '#6')",TRAIN30
2,5966,0.87,0.0,1,0.140625,0.0,0.140625,0.0,0.0,1.0,0.87,0,0,0.0,-4.461423630182047,"('none', 'none', 'none')",TRAIN30
3,5966,0.87,0.0,1,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,1.0,0.87,0,0,0.0,-4.494645784553395,"('none', 'none', 'none')",TRAIN30
